date,open,high,low,close,Volume
2016-01-08,92.7195,93.2464,91.0354,91.2236,70798016
2016-01-11,93.1147,93.1994,91.5811,92.7007,49739377
2016-01-12,94.6012,94.7329,92.9923,94.0461,49154227
2016-01-13,94.3848,95.2033,91.5435,91.6282,62439631
2016-01-14,92.1644,94.5353,90.0758,93.6321,63170127
2016-01-15,90.5086,91.9292,89.7183,91.3835,79833891
2016-01-19,92.5878,92.8136,89.85,90.9413,53087747
2016-01-20,89.4736,92.3805,87.893,91.0637,72334416
2016-01-21,91.3177,92.0892,89.3231,90.6026,52161463
2016-01-22,92.7948,95.4574,92.5502,95.4197,65800467
2016-01-25,95.5138,95.5232,93.3405,93.5569,51794525
2016-01-26,94.0179,94.9117,92.2679,94.0743,75077002
2016-01-27,90.358,90.9121,87.8178,87.893,133369674
2016-01-28,88.2411,88.928,86.924,88.5234,55678825
2016-01-29,89.182,91.5811,88.768,91.5811,64416504
2016-02-01,90.7626,90.9884,89.7559,90.725,40943541
2016-02-02,89.7747,90.358,88.7022,88.8903,37357215
2016-02-03,89.3796,91.1107,88.514,90.6497,45964294
2016-02-04,90.6781,92.0686,90.0443,91.3781,46471652
2016-02-05,91.3024,91.6808,88.6254,88.9375,46418064
2016-02-08,88.0956,90.5267,88.0105,89.874,54021375
2016-02-09,89.1929,90.7537,88.8524,89.8551,44331195
2016-02-10,90.7348,91.1416,89.0132,89.174,42343601
2016-02-11,88.72,89.5997,87.5848,88.6348,50074711
2016-02-12,89.0983,89.3916,87.9821,88.9092,40351381
2016-02-16,89.8835,91.6145,89.4956,91.4159,49057916
2016-02-17,91.4443,92.901,90.9524,92.8159,44863243
2016-02-18,93.497,93.5443,90.8966,91.0564,39020983
2016-02-19,90.8105,91.5293,90.6213,90.8483,35374173
2016-02-22,91.1037,91.6618,90.7348,91.6429,34280758
2016-02-23,91.1889,91.2835,89.4389,89.5713,31942633
2016-02-24,88.8997,91.17,88.2754,90.9051,36255745
2016-02-25,90.8578,91.5294,90.101,91.5294,27582659
2016-02-26,91.9456,92.7248,91.3591,91.6713,28991131
2016-02-29,91.624,92.9199,91.4254,91.4632,35216277
2016-03-01,92.3713,95.3226,92.1537,95.0956,50407147
2016-03-02,95.0767,95.4362,94.2537,95.3037,33169560
2016-03-03,95.1429,96.2117,95.0199,96.0132,36955742
2016-03-04,96.8362,98.1415,95.8902,97.4416,46055100
2016-03-07,96.8551,97.2713,95.5024,96.3632,35915810
